inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type
1Mmifddba3sqKUouKhuRNeMKeSVkcNw4js,1PmA2y8RWNP9ggYW8NWBEmYoH8hAP1iSPW,1DawwkHyH77rKrx9cNmnzfScKTJqnjo414,3.85208013,0.58723772,3.26417781,5.558528852676562 : 1,2017-07-04 15:48:19,66460,P2PKH
14XGXFqYzT2qFZjNHa1nUfNJKjG57U5P5r,1JNub6TJ6B2XDXB9aHkqGe1eDiqkaz8LZT,186jEWbcGPo5opSJ4EDye5vnrpmFYXiHn6,3.04686072,0.20304116,2.84327545,14.00344368599943 : 1,2017-07-16 23:11:47,54411,P2PKH
1D4Q2mZDKNCKpDSbBmpWWsddo8APnWUvBU,1HiDWnwVBe3Gz3HeqSWkZCrkj4GhmDfjYd,14HqFZcv3jpndg2zHxwgikG26mChuFTWwT,3.93469973,1.0855996,2.84849942,2.6238950530195475 : 1,2017-07-09 21:17:32,60071,P2PKH
18Xzi6R4X3VQ3M8TDHJ8JGv9bTLpD3LSv1,1E28mAQKTGMhBSdW88tqJRrsFNDWEWanAy,14uFn4HLUZtB6QqxMftZcMdPLD22MyBHaL,4.27073013,0.39779141,3.87233679,9.734591277373234 : 1,2017-07-14 23:58:38,60193,P2PKH
15BKEF9FsAkvcTyrXRMsQmWHRZwMubKfb3,1BiBddSVHHkj5kYuUVAhpsrP7zZh1nTVBK,1K4SdYUGkKQ8bA6g3hdiKrvMcXxyKvaU9L,4.05598888,0.17924922,3.8759495,21.623243325689227 : 1,2017-06-16 21:28:34,79016,P2PKH
1LqCg6hvQmyDbQ94pQpNQnB5VGJohCtvsc,1DgYkky9GK6WMJ6AEHkB6FvUnv6FS23enJ,14PiUaRexckeHt2VvoJ8QYyC8Rekdpzp5n,1.76467129,0.76585625,0.99808936,1.3032332895370378 : 1,2017-07-07 23:10:26,72568,P2PKH
1MHR3J32Gavmv6dM8BqbSpUbzyrRfmff4t,1HgXs6PSg88ByN55hQdvNHJ5wKCdFZ18qC,31hj42nThKuu7ftkjio1cHYfAHwZjCuk1x,4.39150654,1.26825138,3.12271372,2.462219847929517 : 1,2017-07-12 11:45:02,54144,P2PKH
18D5wu7z4eWTDMcRh6s5cX6JEu85G1jQLW,18MBWSCtYdtCPpQsrUf9zZFoje1hty1aqA,196QMwcKfk1R7Ur9XRULMC7HgeG8MqgKEQ,3.89699853,0.385,3.511549,9.120906493506494 : 1,2017-07-24 17:06:55,44953,P2PKH
1GqEPpqZHPm9idrfPi5tz6q6cVHmaSRiG2,1KNGQKia8GcwwkxAbEzUetn7mxoW4Uecw3,1P29DY9MXXDEyJiHhEdCZZymN4Z89fYW9q,3.9192171,0.29717861,3.62143731,12.186063155756734 : 1,2017-07-10 11:33:26,60118,P2PKH
1BqbnFhxDx8Lv3TpGcWEi3nJHfWUqPyFKn,1FwFDrftEQD9kPAwSb1eQ8c42dt8J2iaeD,17H5gAdQv72Cg2XSmZDEFiG3Wb2L11iuf2,37.50556944,37.48339494,0.0214965,1743.697575884446 : 1,2017-08-31 16:19:10,67800,P2PKH
18rcPi5sxwWz1rsBUfv7Duzj43btNc5Ezg,14JaXFGrkeMJobu7wiUonfmpeHQPGxqS8h,31pEb9kBUGyoNsoTR7F6peeqtzwwQY2ZMi,232.62379628,232.55312428,0.07,3322.187489714285 : 1,2017-07-14 13:14:47,67200,P2PKH
1CFkqaZHmAFBok2tENsWKM6Q2guX7cdKCc,16oiZyAZcBNHk35oFdscAA84zzuZ9KemkQ,1PxwQUKNy4DyJSXkKKVpSbc7dbS6SnN9BA,4.19778274,0.6106762,3.58656176,5.8730989679964605 : 1,2017-07-13 17:59:47,54478,P2PKH
1F66stbzy9zN33ntnthUFXy9TT2M6Rg3m8,1JBEkQeQaWDpY1FdYPFouwLh7Fw9w15Dvr,36E7V119d4gmyDUuWCm5omRJr82QUKwNn8,0.42508151,0.13669308,0.28798398,2.106792677434732 : 1,2017-07-11 23:03:38,40445,P2PKH
1F4z3ZKWiYejYkascWPAp29MJXSC3wHiG9,3C9DeJFShBTi6mKWuiwTq8RPH2v9iE8g2B,1GC4obvoKNbngTmU2auuF3rKpd5whKm4zm,0.60141889,0.07107792,0.52989297,7.455099558343857 : 1,2017-07-30 22:36:43,44800,P2PKH
1gqynX21eSQMAVQ7wDqGQ8SDrTC1fKNRx,13ir6XN3ijcSwyLCKHKGQMs3LSv5RdHGdN,1JkSy6mCaPJLEjKR1ERPWVnrn1aupM4Ywn,3.62047306,0.90850828,2.71151557,2.9845799203943417 : 1,2017-07-24 16:56:32,44921,P2PKH
19wJcTpxpJpr7eK8NfL5AeRw8WfZZRFoLY,1LhtsoJL9GKidCRv5ZPgfh5neS253Akw6x,182Bx5qV5SgQT4hFYrwxV9GHqbCpBQr5df,0.45677508,0.206401,0.25,1.2112344416935965 : 1,2017-07-28 04:45:30,37408,P2PKH
